MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Duration_min,Start_Date,End_Date,Start_Date_dt,End_Date_dt
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.79,"Action, Supernatural, Magic, Fantasy",Fate/stay night:Heaven's Feel - III. Spring Song,劇場版「Fate/stay night [Heaven's Feel] III.spring song」,Movie,1,"Aug 15, 2020",Unknown,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,2 hr. 2 min.,R - 17+ (violence & profanity),26.0,1173,127531,2065,3663,19886,1396,250,102336,6152.0,4569.0,3117.0,1441.0,477.0,189.0,78.0,43.0,61.0,154.0,122.0,"Aug 15, 2020","Aug 15, 2020",2020-08-15,2020-08-15
35252,Hatena☆Illusion,5.37,"Comedy, Supernatural, Romance, Ecchi",Hatena Illusion,はてな☆イリュージョン,TV,12,"Jan 9, 2020 to Jun 4, 2020",Winter 2020,"Shueisha, bilibili, Bandai Namco Arts",Funimation,Children's Playground Entertainment,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,10001.0,2997,29551,25,3382,9560,1134,5842,9633,275.0,170.0,560.0,1450.0,2338.0,2356.0,1694.0,839.0,472.0,315.0,24.0,"Jan 9, 2020","Jun 4, 2020",2020-01-09,2020-06-04
35609,Entotsu Machi no Poupelle,,"Adventure, Magic, Fantasy",Poupelle of Chimney Town,えんとつ町のプペル,Movie,1,"Dec 25, 2020",Unknown,Unknown,Unknown,Studio 4°C,Picture book,,Unknown,13905.0,7465,3442,1,74,30,49,16,3273,1.0,2.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,3.0,,"Dec 25, 2020","Dec 25, 2020",2020-12-25,2020-12-25
35960,Kud Wafter,7.1,"Comedy, Romance, School",Unknown,クドわふたー,Movie,1,"Nov 28, 2020",Unknown,Unknown,Unknown,J.C.Staff,Visual novel,50 min.,Unknown,3218.0,4220,14478,39,197,1712,113,43,12413,112.0,133.0,281.0,461.0,224.0,74.0,31.0,15.0,8.0,13.0,50.0,"Nov 28, 2020","Nov 28, 2020",2020-11-28,2020-11-28
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",Unknown,劇場版メイドインアビス 深き魂の黎明,Movie,1,"Jan 17, 2020",Unknown,Unknown,Sentai Filmworks,Kinema Citrus,Web manga,1 hr. 45 min.,R - 17+ (violence & profanity),35.0,682,216416,1546,4357,85039,1280,356,125384,19396.0,25707.0,16909.0,5248.0,1533.0,486.0,237.0,108.0,70.0,166.0,105.0,"Jan 17, 2020","Jan 17, 2020",2020-01-17,2020-01-17
37345,Plunderer,6.5,"Action, Ecchi, Fantasy, Shounen",Plunderer,プランダラ,TV,24,"Jan 9, 2020 to Jun 25, 2020",Winter 2020,"Half H.P Studio, Nippon Columbia, 81 Produce, Docomo Anime Store, Kadokawa Media House, Kadokawa",Funimation,GEEK TOYS,Manga,22 min. per ep.,PG-13 - Teens 13 or older,5879.0,661,220623,1020,40801,83282,8997,27731,59812,4941.0,5840.0,12193.0,20837.0,17127.0,10741.0,7319.0,3867.0,2376.0,1933.0,22.0,"Jan 9, 2020","Jun 25, 2020",2020-01-09,2020-06-25
37522,Pet,6.48,"Mystery, Psychological, Supernatural, Seinen",Pet,ペット,TV,13,"Jan 6, 2020 to Mar 30, 2020",Winter 2020,"Fujipacific Music, Ai Addiction, Twin Engine",Unknown,Geno Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity),6010.0,1755,74529,200,8518,19739,3273,11791,31208,758.0,1440.0,3309.0,5223.0,4698.0,3174.0,1834.0,822.0,405.0,319.0,23.0,"Jan 6, 2020","Mar 30, 2020",2020-01-06,2020-03-30
37576,Majutsushi Orphen Hagure Tabi,5.78,"Action, Adventure, Drama, Magic, Martial Arts, Fantasy",Sorcerous Stabber Orphen,魔術士オーフェンはぐれ旅,TV,13,"Jan 7, 2020 to Mar 31, 2020",Winter 2020,"WOWOW, Genco, Lantis, MediaNet, Marvel Entertainment, BS Fuji, Nippon Television Network, Forecast Communications, Yomiuri TV Enterprise, Marui Group, Bandai Namco Arts, TO Books",Funimation,Studio Deen,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,8922.0,2296,48815,51,6549,16317,1667,7674,16608,385.0,404.0,1154.0,3061.0,3970.0,3393.0,1918.0,907.0,513.0,282.0,23.0,"Jan 7, 2020","Mar 31, 2020",2020-01-07,2020-03-31
37587,Lapis Re:LiGHTs,6.63,"Music, Magic, Fantasy",Unknown,ラピスリライツ,TV,12,"Jul 4, 2020 to Sep 19, 2020",Summer 2020,Studio Mausu,Funimation,Yokohama Animation Lab,Other,24 min. per ep.,PG-13 - Teens 13 or older,5247.0,3027,29145,122,4119,10026,1006,3164,10830,542.0,594.0,1489.0,2705.0,2254.0,1528.0,613.0,278.0,112.0,84.0,24.0,"Jul 4, 2020","Sep 19, 2020",2020-07-04,2020-09-19
37599,Magatsu Wahrheit: Zuerst,6.6,"Action, Magic, Fantasy",MAGATSU WAHRHEIT,禍つヴァールハイト -ZUERST-,TV,12,"Oct 13, 2020 to Dec 29, 2020",Fall 2020,"WOWOW, NBCUniversal Entertainment Japan, Tokyo MX, Q-Tec, Chugai Mining, BS11, KLab, Marui Group, Bit grooove promotion",Funimation,Yokohama Animation Lab,Game,24 min. per ep.,Unknown,5406.0,3285,24870,51,4096,7129,741,2374,10530,222.0,372.0,1122.0,2180.0,1729.0,937.0,458.0,153.0,81.0,63.0,24.0,"Oct 13, 2020","Dec 29, 2020",2020-10-13,2020-12-29
37704,High School Fleet Movie,7.51,"Action, Military, School",Unknown,劇場版 ハイスクール・フリート,Movie,1,"Jan 18, 2020",Unknown,Aniplex,Unknown,A-1 Pictures,Original,1 hr. 43 min.,PG-13 - Teens 13 or older,1545.0,4856,10242,44,339,2124,160,63,7556,229.0,222.0,446.0,444.0,200.0,89.0,31.0,10.0,6.0,3.0,103.0,"Jan 18, 2020","Jan 18, 2020",2020-01-18,2020-01-18
37804,Shirobako Movie,7.74,"Comedy, Drama",Unknown,劇場版 SHIROBAKO,Movie,1,"Feb 29, 2020",Unknown,"Sotsu, Infinite, Imagine",Eleven Arts,P.A. Works,Original,2 hr.,PG-13 - Teens 13 or older,944.0,2958,30447,31,661,1416,496,69,27805,181.0,177.0,389.0,276.0,91.0,39.0,10.0,4.0,,4.0,,"Feb 29, 2020","Feb 29, 2020",2020-02-29,2020-02-29
37870,BanG Dream! 3rd Season,8.05,Music,Unknown,BanG Dream!（バンドリ！）第3期,TV,13,"Jan 23, 2020 to Apr 23, 2020",Winter 2020,"Ultra Super Pictures, Bushiroad, Tokyo MX, Good Smile Company, HoriPro International, Cloud22",Sentai Filmworks,SANZIGEN,Other,23 min. per ep.,PG-13 - Teens 13 or older,472.0,3585,20753,413,1632,9834,432,405,8450,1474.0,1824.0,2543.0,1484.0,567.0,224.0,101.0,47.0,15.0,44.0,23.0,"Jan 23, 2020","Apr 23, 2020",2020-01-23,2020-04-23
37890,Oshi ga Budoukan Ittekuretara Shinu,7.45,"Comedy, Music, Seinen, Shoujo Ai, Slice of Life","If My Favorite Pop Idol Made It to the Budokan, I Would Die",推しが武道館いってくれたら死ぬ,TV,12,"Jan 10, 2020 to Mar 27, 2020",Winter 2020,"Pony Canyon, TBS, Movic, Tokuma Shoten",Funimation,8bit,Manga,24 min. per ep.,Unknown,1726.0,3071,28277,219,2745,13683,797,1619,9433,947.0,1609.0,3431.0,3527.0,1521.0,674.0,253.0,132.0,48.0,59.0,24.0,"Jan 10, 2020","Mar 27, 2020",2020-01-10,2020-03-27
